verb,ich_prsens,du_prsens,er_prsens,wir_prsens,ihr_prsens,sie_prsens,ich_prteritum,du_prteritum,er_prteritum,wir_prteritum,ihr_prteritum,sie_prteritum,ich_perfekt,du_perfekt,er_perfekt,wir_perfekt,ihr_perfekt,sie_perfekt,ich_plusquamperfekt,du_plusquamperfekt,er_plusquamperfekt,wir_plusquamperfekt,ihr_plusquamperfekt,sie_plusquamperfekt,ich_futuri,du_futuri,er_futuri,wir_futuri,ihr_futuri,sie_futuri,ich_futurii,du_futurii,er_futurii,wir_futurii,ihr_futurii,sie_futurii,ich_konjunktivi,du_konjunktivi,er_konjunktivi,wir_konjunktivi,ihr_konjunktivi,sie_konjunktivi,ich_konjunktivii,du_konjunktivii,er_konjunktivii,wir_konjunktivii,ihr_konjunktivii,sie_konjunktivii,ich_konjunktiv_perfekt,du_konjunktiv_perfekt,er_konjunktiv_perfekt,wir_konjunktiv_perfekt,ihr_konjunktiv_perfekt,sie_konjunktiv_perfekt,ich_konjunktiv_plusquamperfekt,du_konjunktiv_plusquamperfekt,er_konjunktiv_plusquamperfekt,wir_konjunktiv_plusquamperfekt,ihr_konjunktiv_plusquamperfekt,sie_konjunktiv_plusquamperfekt,ich_konjunktiv_futur1,du_konjunktiv_futur1,er_konjunktiv_futur1,wir_konjunktiv_futur1,ihr_konjunktiv_futur1,sie_konjunktiv_futur1,ich_konjunktiv_futur2,du_konjunktiv_futur2,er_konjunktiv_futur2,wir_konjunktiv_futur2,ihr_konjunktiv_futur2,sie_konjunktiv_futur2,infinitiv1_form1,infinitiv1_form2,infinitiv2_form1,infinitiv2_form2,partizip1,partizip2,imperativ_du,imperativ_wir,imperativ_ihr,imperativ_sie
schmerzen,schmerze,schmerzt,schmerzt,schmerzen,schmerzt,schmerzen,schmerzte,schmerztest,schmerzte,schmerzten,schmerztet,schmerzten,habe geschmerzt,hast geschmerzt,hat geschmerzt,haben geschmerzt,habt geschmerzt,haben geschmerzt,hatte geschmerzt,hattest geschmerzt,hatte geschmerzt,hatten geschmerzt,hattet geschmerzt,hatten geschmerzt,werde schmerzen,wirst schmerzen,wird schmerzen,werden schmerzen,werdet schmerzen,werden schmerzen,werde geschmerzt haben,wirst geschmerzt haben,wird geschmerzt haben,werden geschmerzt haben,werdet geschmerzt haben,werden geschmerzt haben,schmerze,schmerzest,schmerze,schmerzen,schmerzet,schmerzen,schmerzte,schmerztest,schmerzte,schmerzten,schmerztet,schmerzten,habe geschmerzt,habest geschmerzt,habe geschmerzt,haben geschmerzt,habet geschmerzt,haben geschmerzt,hätte geschmerzt,hättest geschmerzt,hätte geschmerzt,hätten geschmerzt,hättet geschmerzt,hätten geschmerzt,werde schmerzen,werdest schmerzen,werde schmerzen,werden schmerzen,werdet schmerzen,werden schmerzen,werde geschmerzt haben,werdest geschmerzt haben,werde geschmerzt haben,werden geschmerzt haben,werdet geschmerzt haben,werden geschmerzt haben,schmerzen,zu schmerzen,geschmerzt haben,geschmerzt zu haben,schmerzend,geschmerzt,schmerze du,schmerzen wir,schmerzt ihr,schmerzen Sie
verschwinden,verschwinde,verschwindest,verschwindet,verschwinden,verschwindet,verschwinden,verschwand,verschwandest,verschwand,verschwanden,verschwandet,verschwanden,bin verschwunden,bist verschwunden,ist verschwunden,sind verschwunden,seid verschwunden,sind verschwunden,war verschwunden,warst verschwunden,war verschwunden,waren verschwunden,wart verschwunden,waren verschwunden,werde verschwinden,wirst verschwinden,wird verschwinden,werden verschwinden,werdet verschwinden,werden verschwinden,werde verschwunden sein,wirst verschwunden sein,wird verschwunden sein,werden verschwunden sein,werdet verschwunden sein,werden verschwunden sein,verschwinde,verschwindest,verschwinde,verschwinden,verschwindet,verschwinden,verschwände,verschwändest,verschwände,verschwänden,verschwändet,verschwänden,sei verschwunden,seiest verschwunden,sei verschwunden,seien verschwunden,seiet verschwunden,seien verschwunden,wäre verschwunden,wärest verschwunden,wäre verschwunden,wären verschwunden,wäret verschwunden,wären verschwunden,werde verschwinden,werdest verschwinden,werde verschwinden,werden verschwinden,werdet verschwinden,werden verschwinden,werde verschwunden sein,werdest verschwunden sein,werde verschwunden sein,werden verschwunden sein,werdet verschwunden sein,werden verschwunden sein,verschwinden,zu verschwinden,verschwunden sein,verschwunden zu sein,verschwindend,verschwunden,verschwinde du,verschwinden wir,verschwindet ihr,verschwinden Sie
vertreten,vertrete,vertrittst,vertritt,vertreten,vertretet,vertreten,vertrat,vertratest,vertrat,vertraten,vertratet,vertraten,habe vertreten,hast vertreten,hat vertreten,haben vertreten,habt vertreten,haben vertreten,hatte vertreten,hattest vertreten,hatte vertreten,hatten vertreten,hattet vertreten,hatten vertreten,werde vertreten,wirst vertreten,wird vertreten,werden vertreten,werdet vertreten,werden vertreten,werde vertreten haben,wirst vertreten haben,wird vertreten haben,werden vertreten haben,werdet vertreten haben,werden vertreten haben,vertrete,vertretest,vertrete,vertreten,vertretet,vertreten,verträte,verträtest,verträte,verträten,verträtet,verträten,habe vertreten,habest vertreten,habe vertreten,haben vertreten,habet vertreten,haben vertreten,hätte vertreten,hättest vertreten,hätte vertreten,hätten vertreten,hättet vertreten,hätten vertreten,werde vertreten,werdest vertreten,werde vertreten,werden vertreten,werdet vertreten,werden vertreten,werde vertreten haben,werdest vertreten haben,werde vertreten haben,werden vertreten haben,werdet vertreten haben,werden vertreten haben,vertreten,zu vertreten,vertreten haben,vertreten zu haben,vertretend,vertreten,vertritt du,vertreten wir,vertretet ihr,vertreten Sie
malen,male,malst,malt,malen,malt,malen,malte,maltest,malte,malten,maltet,malten,habe gemalt,hast gemalt,hat gemalt,haben gemalt,habt gemalt,haben gemalt,hatte gemalt,hattest gemalt,hatte gemalt,hatten gemalt,hattet gemalt,hatten gemalt,werde malen,wirst malen,wird malen,werden malen,werdet malen,werden malen,werde gemalt haben,wirst gemalt haben,wird gemalt haben,werden gemalt haben,werdet gemalt haben,werden gemalt haben,male,malest,male,malen,malet,malen,malte,maltest,malte,malten,maltet,malten,habe gemalt,habest gemalt,habe gemalt,haben gemalt,habet gemalt,haben gemalt,hätte gemalt,hättest gemalt,hätte gemalt,hätten gemalt,hättet gemalt,hätten gemalt,werde malen,werdest malen,werde malen,werden malen,werdet malen,werden malen,werde gemalt haben,werdest gemalt haben,werde gemalt haben,werden gemalt haben,werdet gemalt haben,werden gemalt haben,malen,zu malen,gemalt haben,gemalt zu haben,malend,gemalt,male du,malen wir,malt ihr,malen Sie
anstrengen,strenge an,strengst an,strengt an,strengen an,strengt an,strengen an,strengte an,strengtest an,strengte an,strengten an,strengtet an,strengten an,habe angestrengt,hast angestrengt,hat angestrengt,haben angestrengt,habt angestrengt,haben angestrengt,hatte angestrengt,hattest angestrengt,hatte angestrengt,hatten angestrengt,hattet angestrengt,hatten angestrengt,werde anstrengen,wirst anstrengen,wird anstrengen,werden anstrengen,werdet anstrengen,werden anstrengen,werde angestrengt haben,wirst angestrengt haben,wird angestrengt haben,werden angestrengt haben,werdet angestrengt haben,werden angestrengt haben,strenge an,strengest an,strenge an,strengen an,strenget an,strengen an,strengte an,strengtest an,strengte an,strengten an,strengtet an,strengten an,habe angestrengt,habest angestrengt,habe angestrengt,haben angestrengt,habet angestrengt,haben angestrengt,hätte angestrengt,hättest angestrengt,hätte angestrengt,hätten angestrengt,hättet angestrengt,hätten angestrengt,werde anstrengen,werdest anstrengen,werde anstrengen,werden anstrengen,werdet anstrengen,werden anstrengen,werde angestrengt haben,werdest angestrengt haben,werde angestrengt haben,werden angestrengt haben,werdet angestrengt haben,werden angestrengt haben,anstrengen,anzustrengen,angestrengt haben,angestrengt zu haben,anstrengend,angestrengt,strenge du an,strengen wir an,strengt ihr an,strengen Sie an
jucken,jucke,juckst,juckt,jucken,juckt,jucken,juckte,jucktest,juckte,juckten,jucktet,juckten,habe gejuckt,hast gejuckt,hat gejuckt,haben gejuckt,habt gejuckt,haben gejuckt,hatte gejuckt,hattest gejuckt,hatte gejuckt,hatten gejuckt,hattet gejuckt,hatten gejuckt,werde jucken,wirst jucken,wird jucken,werden jucken,werdet jucken,werden jucken,werde gejuckt haben,wirst gejuckt haben,wird gejuckt haben,werden gejuckt haben,werdet gejuckt haben,werden gejuckt haben,jucke,juckest,jucke,jucken,jucket,jucken,juckte,jucktest,juckte,juckten,jucktet,juckten,habe gejuckt,habest gejuckt,habe gejuckt,haben gejuckt,habet gejuckt,haben gejuckt,hätte gejuckt,hättest gejuckt,hätte gejuckt,hätten gejuckt,hättet gejuckt,hätten gejuckt,werde jucken,werdest jucken,werde jucken,werden jucken,werdet jucken,werden jucken,werde gejuckt haben,werdest gejuckt haben,werde gejuckt haben,werden gejuckt haben,werdet gejuckt haben,werden gejuckt haben,jucken,zu jucken,gejuckt haben,gejuckt zu haben,juckend,gejuckt,jucke du,jucken wir,juckt ihr,jucken Sie
beleidigen,beleidige,beleidigst,beleidigt,beleidigen,beleidigt,beleidigen,beleidigte,beleidigtest,beleidigte,beleidigten,beleidigtet,beleidigten,habe beleidigt,hast beleidigt,hat beleidigt,haben beleidigt,habt beleidigt,haben beleidigt,hatte beleidigt,hattest beleidigt,hatte beleidigt,hatten beleidigt,hattet beleidigt,hatten beleidigt,werde beleidigen,wirst beleidigen,wird beleidigen,werden beleidigen,werdet beleidigen,werden beleidigen,werde beleidigt haben,wirst beleidigt haben,wird beleidigt haben,werden beleidigt haben,werdet beleidigt haben,werden beleidigt haben,beleidige,beleidigest,beleidige,beleidigen,beleidiget,beleidigen,beleidigte,beleidigtest,beleidigte,beleidigten,beleidigtet,beleidigten,habe beleidigt,habest beleidigt,habe beleidigt,haben beleidigt,habet beleidigt,haben beleidigt,hätte beleidigt,hättest beleidigt,hätte beleidigt,hätten beleidigt,hättet beleidigt,hätten beleidigt,werde beleidigen,werdest beleidigen,werde beleidigen,werden beleidigen,werdet beleidigen,werden beleidigen,werde beleidigt haben,werdest beleidigt haben,werde beleidigt haben,werden beleidigt haben,werdet beleidigt haben,werden beleidigt haben,beleidigen,zu beleidigen,beleidigt haben,beleidigt zu haben,beleidigend,beleidigt,beleidige du,beleidigen wir,beleidigt ihr,beleidigen Sie
heulen,heule,heulst,heult,heulen,heult,heulen,heulte,heultest,heulte,heulten,heultet,heulten,habe geheult,hast geheult,hat geheult,haben geheult,habt geheult,haben geheult,hatte geheult,hattest geheult,hatte geheult,hatten geheult,hattet geheult,hatten geheult,werde heulen,wirst heulen,wird heulen,werden heulen,werdet heulen,werden heulen,werde geheult haben,wirst geheult haben,wird geheult haben,werden geheult haben,werdet geheult haben,werden geheult haben,heule,heulest,heule,heulen,heulet,heulen,heulte,heultest,heulte,heulten,heultet,heulten,habe geheult,habest geheult,habe geheult,haben geheult,habet geheult,haben geheult,hätte geheult,hättest geheult,hätte geheult,hätten geheult,hättet geheult,hätten geheult,werde heulen,werdest heulen,werde heulen,werden heulen,werdet heulen,werden heulen,werde geheult haben,werdest geheult haben,werde geheult haben,werden geheult haben,werdet geheult haben,werden geheult haben,heulen,zu heulen,geheult haben,geheult zu haben,heulend,geheult,heule du,heulen wir,heult ihr,heulen Sie
verlaufen,verlaufe,verläufst,verläuft,verlaufen,verlauft,verlaufen,verlief,verliefst,verlief,verliefen,verlieft,verliefen,habe verlaufen,hast verlaufen,hat verlaufen,haben verlaufen,habt verlaufen,haben verlaufen,hatte verlaufen,hattest verlaufen,hatte verlaufen,hatten verlaufen,hattet verlaufen,hatten verlaufen,werde verlaufen,wirst verlaufen,wird verlaufen,werden verlaufen,werdet verlaufen,werden verlaufen,werde verlaufen haben,wirst verlaufen haben,wird verlaufen haben,werden verlaufen haben,werdet verlaufen haben,werden verlaufen haben,verlaufe,verlaufest,verlaufe,verlaufen,verlaufet,verlaufen,verliefe,verliefest,verliefe,verliefen,verliefet,verliefen,habe verlaufen,habest verlaufen,habe verlaufen,haben verlaufen,habet verlaufen,haben verlaufen,hätte verlaufen,hättest verlaufen,hätte verlaufen,hätten verlaufen,hättet verlaufen,hätten verlaufen,werde verlaufen,werdest verlaufen,werde verlaufen,werden verlaufen,werdet verlaufen,werden verlaufen,werde verlaufen haben,werdest verlaufen haben,werde verlaufen haben,werden verlaufen haben,werdet verlaufen haben,werden verlaufen haben,verlaufen,zu verlaufen,verlaufen haben,verlaufen zu haben,verlaufend,verlaufen,verlaufe du,verlaufen wir,verlauft ihr,verlaufen Sie
provozieren,provoziere,provozierst,provoziert,provozieren,provoziert,provozieren,provozierte,provoziertest,provozierte,provozierten,provoziertet,provozierten,habe provoziert,hast provoziert,hat provoziert,haben provoziert,habt provoziert,haben provoziert,hatte provoziert,hattest provoziert,hatte provoziert,hatten provoziert,hattet provoziert,hatten provoziert,werde provozieren,wirst provozieren,wird provozieren,werden provozieren,werdet provozieren,werden provozieren,werde provoziert haben,wirst provoziert haben,wird provoziert haben,werden provoziert haben,werdet provoziert haben,werden provoziert haben,provoziere,provozierest,provoziere,provozieren,provozieret,provozieren,provozierte,provoziertest,provozierte,provozierten,provoziertet,provozierten,habe provoziert,habest provoziert,habe provoziert,haben provoziert,habet provoziert,haben provoziert,hätte provoziert,hättest provoziert,hätte provoziert,hätten provoziert,hättet provoziert,hätten provoziert,werde provozieren,werdest provozieren,werde provozieren,werden provozieren,werdet provozieren,werden provozieren,werde provoziert haben,werdest provoziert haben,werde provoziert haben,werden provoziert haben,werdet provoziert haben,werden provoziert haben,provozieren,zu provozieren,provoziert haben,provoziert zu haben,provozierend,provoziert,provoziere du,provozieren wir,provoziert ihr,provozieren Sie
festhalten,halte fest,hältst fest,hält fest,halten fest,haltet fest,halten fest,hielt fest,hieltest fest,hielt fest,hielten fest,hieltet fest,hielten fest,habe festgehalten,hast festgehalten,hat festgehalten,haben festgehalten,habt festgehalten,haben festgehalten,hatte festgehalten,hattest festgehalten,hatte festgehalten,hatten festgehalten,hattet festgehalten,hatten festgehalten,werde festhalten,wirst festhalten,wird festhalten,werden festhalten,werdet festhalten,werden festhalten,werde festgehalten haben,wirst festgehalten haben,wird festgehalten haben,werden festgehalten haben,werdet festgehalten haben,werden festgehalten haben,halte fest,haltest fest,halte fest,halten fest,haltet fest,halten fest,hielte fest,hieltest fest,hielte fest,hielten fest,hieltet fest,hielten fest,habe festgehalten,habest festgehalten,habe festgehalten,haben festgehalten,habet festgehalten,haben festgehalten,hätte festgehalten,hättest festgehalten,hätte festgehalten,hätten festgehalten,hättet festgehalten,hätten festgehalten,werde festhalten,werdest festhalten,werde festhalten,werden festhalten,werdet festhalten,werden festhalten,werde festgehalten haben,werdest festgehalten haben,werde festgehalten haben,werden festgehalten haben,werdet festgehalten haben,werden festgehalten haben,festhalten,festzuhalten,festgehalten haben,festgehalten zu haben,festhaltend,festgehalten,halte du fest,halten wir fest,haltet ihr fest,halten Sie fest
befriedigen,befriedige,befriedigst,befriedigt,befriedigen,befriedigt,befriedigen,befriedigte,befriedigtest,befriedigte,befriedigten,befriedigtet,befriedigten,habe befriedigt,hast befriedigt,hat befriedigt,haben befriedigt,habt befriedigt,haben befriedigt,hatte befriedigt,hattest befriedigt,hatte befriedigt,hatten befriedigt,hattet befriedigt,hatten befriedigt,werde befriedigen,wirst befriedigen,wird befriedigen,werden befriedigen,werdet befriedigen,werden befriedigen,werde befriedigt haben,wirst befriedigt haben,wird befriedigt haben,werden befriedigt haben,werdet befriedigt haben,werden befriedigt haben,befriedige,befriedigest,befriedige,befriedigen,befriediget,befriedigen,befriedigte,befriedigtest,befriedigte,befriedigten,befriedigtet,befriedigten,habe befriedigt,habest befriedigt,habe befriedigt,haben befriedigt,habet befriedigt,haben befriedigt,hätte befriedigt,hättest befriedigt,hätte befriedigt,hätten befriedigt,hättet befriedigt,hätten befriedigt,werde befriedigen,werdest befriedigen,werde befriedigen,werden befriedigen,werdet befriedigen,werden befriedigen,werde befriedigt haben,werdest befriedigt haben,werde befriedigt haben,werden befriedigt haben,werdet befriedigt haben,werden befriedigt haben,befriedigen,zu befriedigen,befriedigt haben,befriedigt zu haben,befriedigend,befriedigt,befriedige du,befriedigen wir,befriedigt ihr,befriedigen Sie
beschuldigen,beschuldige,beschuldigst,beschuldigt,beschuldigen,beschuldigt,beschuldigen,beschuldigte,beschuldigtest,beschuldigte,beschuldigten,beschuldigtet,beschuldigten,habe beschuldigt,hast beschuldigt,hat beschuldigt,haben beschuldigt,habt beschuldigt,haben beschuldigt,hatte beschuldigt,hattest beschuldigt,hatte beschuldigt,hatten beschuldigt,hattet beschuldigt,hatten beschuldigt,werde beschuldigen,wirst beschuldigen,wird beschuldigen,werden beschuldigen,werdet beschuldigen,werden beschuldigen,werde beschuldigt haben,wirst beschuldigt haben,wird beschuldigt haben,werden beschuldigt haben,werdet beschuldigt haben,werden beschuldigt haben,beschuldige,beschuldigest,beschuldige,beschuldigen,beschuldiget,beschuldigen,beschuldigte,beschuldigtest,beschuldigte,beschuldigten,beschuldigtet,beschuldigten,habe beschuldigt,habest beschuldigt,habe beschuldigt,haben beschuldigt,habet beschuldigt,haben beschuldigt,hätte beschuldigt,hättest beschuldigt,hätte beschuldigt,hätten beschuldigt,hättet beschuldigt,hätten beschuldigt,werde beschuldigen,werdest beschuldigen,werde beschuldigen,werden beschuldigen,werdet beschuldigen,werden beschuldigen,werde beschuldigt haben,werdest beschuldigt haben,werde beschuldigt haben,werden beschuldigt haben,werdet beschuldigt haben,werden beschuldigt haben,beschuldigen,zu beschuldigen,beschuldigt haben,beschuldigt zu haben,beschuldigend,beschuldigt,beschuldige du,beschuldigen wir,beschuldigt ihr,beschuldigen Sie
schnitzen,schnitze,schnitzt,schnitzt,schnitzen,schnitzt,schnitzen,schnitzte,schnitztest,schnitzte,schnitzten,schnitztet,schnitzten,habe geschnitzt,hast geschnitzt,hat geschnitzt,haben geschnitzt,habt geschnitzt,haben geschnitzt,hatte geschnitzt,hattest geschnitzt,hatte geschnitzt,hatten geschnitzt,hattet geschnitzt,hatten geschnitzt,werde schnitzen,wirst schnitzen,wird schnitzen,werden schnitzen,werdet schnitzen,werden schnitzen,werde geschnitzt haben,wirst geschnitzt haben,wird geschnitzt haben,werden geschnitzt haben,werdet geschnitzt haben,werden geschnitzt haben,schnitze,schnitzest,schnitze,schnitzen,schnitzet,schnitzen,schnitzte,schnitztest,schnitzte,schnitzten,schnitztet,schnitzten,habe geschnitzt,habest geschnitzt,habe geschnitzt,haben geschnitzt,habet geschnitzt,haben geschnitzt,hätte geschnitzt,hättest geschnitzt,hätte geschnitzt,hätten geschnitzt,hättet geschnitzt,hätten geschnitzt,werde schnitzen,werdest schnitzen,werde schnitzen,werden schnitzen,werdet schnitzen,werden schnitzen,werde geschnitzt haben,werdest geschnitzt haben,werde geschnitzt haben,werden geschnitzt haben,werdet geschnitzt haben,werden geschnitzt haben,schnitzen,zu schnitzen,geschnitzt haben,geschnitzt zu haben,schnitzend,geschnitzt,schnitze du,schnitzen wir,schnitzt ihr,schnitzen Sie
brauchen,brauche,brauchst,braucht,brauchen,braucht,brauchen,brauchte,brauchtest,brauchte,brauchten,brauchtet,brauchten,habe gebraucht,hast gebraucht,hat gebraucht,haben gebraucht,habt gebraucht,haben gebraucht,hatte gebraucht,hattest gebraucht,hatte gebraucht,hatten gebraucht,hattet gebraucht,hatten gebraucht,werde brauchen,wirst brauchen,wird brauchen,werden brauchen,werdet brauchen,werden brauchen,werde gebraucht haben,wirst gebraucht haben,wird gebraucht haben,werden gebraucht haben,werdet gebraucht haben,werden gebraucht haben,brauche,brauchest,brauche,brauchen,brauchet,brauchen,brauchte,brauchtest,brauchte,brauchten,brauchtet,brauchten,habe gebraucht,habest gebraucht,habe gebraucht,haben gebraucht,habet gebraucht,haben gebraucht,hätte gebraucht,hättest gebraucht,hätte gebraucht,hätten gebraucht,hättet gebraucht,hätten gebraucht,werde brauchen,werdest brauchen,werde brauchen,werden brauchen,werdet brauchen,werden brauchen,werde gebraucht haben,werdest gebraucht haben,werde gebraucht haben,werden gebraucht haben,werdet gebraucht haben,werden gebraucht haben,brauchen,zu brauchen,gebraucht haben,gebraucht zu haben,brauchend,gebraucht,brauche du,brauchen wir,braucht ihr,brauchen Sie
